# ROTF recovery work-list:  Tag|youtube_url   (Tag = frames dir + spec name)
# Curated per-dungeon from yt-dlp searches. Long raw runs/streams = best for fights+taunts.
# === DUNGEONS WITH DEDICATED FOOTAGE ===
Asgard|https://youtu.be/g-ONuo1vwDM
IcyPeaks|https://youtu.be/o6VNo8lSgFk
IcyPeaks_tutorial|https://youtu.be/fSO2ZflJRco
TwilightNecropolis|https://youtu.be/a9YXu6LmI_g
TwilightNecropolis_firstrun|https://youtu.be/EEKp-0KXvmo
LimonSprite|https://youtu.be/IeCLP1XLM-c
EpicLimon|https://youtu.be/GevQikDHBD8
UndeadLair|https://youtu.be/l4aySJFTX7M
Oryx3|https://youtu.be/hMsGi7jJ-rc
# === BOSS / EVENT / SYSTEM SAMPLERS (cover many bosses at once) ===
BossSpawning|https://youtu.be/O_v-WQtbtUo
EventBosses|https://youtu.be/OmndRmfWtl4
EpicBosses|https://youtu.be/8ebdI22yzws
NewDungeons|https://youtu.be/5YgMdcEEoYY
RunesNodes|https://youtu.be/pEkeJiebsJg
# === LONG STREAMS (hours — many dungeons incl. Galactic/Scorched; chat+drops+taunts over time) ===
GalacticZones_stream|https://youtu.be/tiKwt2FCmMk
ScorchedPlains_stream|https://youtu.be/-6vamTYvqtU
GeneralStream|https://youtu.be/ItXytb0vp_8
# === DROPS (montages) ===
GalacticLoot|https://youtu.be/lbUgNIgbCro
ShatteredLoot|https://youtu.be/oa8PrU7rdiw
# --- extra long-form added for the overnight hunt (more transitions = better odds on missing dungeons) ---
LongRPE|https://youtu.be/vGaCYulEMA8
GeneralRun2|https://youtu.be/CthJdxARwJ0
DyngleHunt|https://youtu.be/70jtxif9B1E
disc_D7-tYUyll2o|https://youtu.be/D7-tYUyll2o
disc_RO6AZQ8cgkI|https://youtu.be/RO6AZQ8cgkI
disc_7lIEpNWWTsI|https://youtu.be/7lIEpNWWTsI
disc_MFpI_mW1jYM|https://youtu.be/MFpI_mW1jYM
disc_gksrl1an2TI|https://youtu.be/gksrl1an2TI
disc_vjqd2mcRNkk|https://youtu.be/vjqd2mcRNkk
disc_wsRSijbExRI|https://youtu.be/wsRSijbExRI
disc_irmU-KsS6vY|https://youtu.be/irmU-KsS6vY
disc_HFrIP19asr4|https://youtu.be/HFrIP19asr4
disc_hSiSjnwkkKE|https://youtu.be/hSiSjnwkkKE
disc__rJV1V_Xv00|https://youtu.be/_rJV1V_Xv00
disc_5_kDH4Crr7Y|https://youtu.be/5_kDH4Crr7Y
disc_Oow3FpqLrvU|https://youtu.be/Oow3FpqLrvU
disc_4itloBmgmZ4|https://youtu.be/4itloBmgmZ4
disc_H9cFiWsN7fw|https://youtu.be/H9cFiWsN7fw
disc_mnxP85v4SSY|https://youtu.be/mnxP85v4SSY
disc_WAnt6Ih04hU|https://youtu.be/WAnt6Ih04hU
disc_gTBwT-tVZ78|https://youtu.be/gTBwT-tVZ78
disc_qjTSuP6ceIg|https://youtu.be/qjTSuP6ceIg
disc_CgZC3OpXVhU|https://youtu.be/CgZC3OpXVhU
disc_rk0RkuuDu9g|https://youtu.be/rk0RkuuDu9g
disc_HvB7mdTTE4E|https://youtu.be/HvB7mdTTE4E
disc_tyG-KT533DA|https://youtu.be/tyG-KT533DA
disc_tohI-MwwH_g|https://youtu.be/tohI-MwwH_g
disc_vWyJvV6ImL0|https://youtu.be/vWyJvV6ImL0
disc_SPBkDdC5JGM|https://youtu.be/SPBkDdC5JGM
disc_2nyUJDNu9Cs|https://youtu.be/2nyUJDNu9Cs
disc_BAEczQwSTXY|https://youtu.be/BAEczQwSTXY
disc_QAljT2Rly88|https://youtu.be/QAljT2Rly88
disc_N75-ghu4wmo|https://youtu.be/N75-ghu4wmo
disc_TkraL4lSyDw|https://youtu.be/TkraL4lSyDw
disc_hgdylwmk_OA|https://youtu.be/hgdylwmk_OA
disc_r5dnQBsNhho|https://youtu.be/r5dnQBsNhho
disc_fFKeD2EZFSg|https://youtu.be/fFKeD2EZFSg
disc_t4BuOE5nwBE|https://youtu.be/t4BuOE5nwBE
disc_LS16CHnxyhU|https://youtu.be/LS16CHnxyhU
disc_iIkWGzE1404|https://youtu.be/iIkWGzE1404
disc_DqUiNlQ9Uz0|https://youtu.be/DqUiNlQ9Uz0
disc_kZl_YV0-aVQ|https://youtu.be/kZl_YV0-aVQ
disc_wris85se27w|https://youtu.be/wris85se27w
disc_fwfza1cmkm0|https://youtu.be/fwfza1cmkm0
disc_9mo9JHZuisY|https://youtu.be/9mo9JHZuisY
disc_pGEVj9uJLFw|https://youtu.be/pGEVj9uJLFw
disc_dvp-vg15okI|https://youtu.be/dvp-vg15okI
disc_uACPis1ttQM|https://youtu.be/uACPis1ttQM
disc_stobQAcCmR8|https://youtu.be/stobQAcCmR8
disc_B4dLdyMZkH0|https://youtu.be/B4dLdyMZkH0
disc_iFlpCUkcjvY|https://youtu.be/iFlpCUkcjvY
disc_hl-ETK3d42A|https://youtu.be/hl-ETK3d42A
disc_2BrWb2h-J-s|https://youtu.be/2BrWb2h-J-s
disc_9hxtD04Kbp8|https://youtu.be/9hxtD04Kbp8
disc_RYeeTcfxDEs|https://youtu.be/RYeeTcfxDEs
disc_FIGk6e_z-zU|https://youtu.be/FIGk6e_z-zU
disc_YC4vDxWTAyc|https://youtu.be/YC4vDxWTAyc
disc_WrAfGGUcuhA|https://youtu.be/WrAfGGUcuhA
disc_-N3MH_woifQ|https://youtu.be/-N3MH_woifQ
disc_9vQughNZIX0|https://youtu.be/9vQughNZIX0
disc_koXrDxguF7o|https://youtu.be/koXrDxguF7o
disc_bK3Mi0kahbU|https://youtu.be/bK3Mi0kahbU
disc_n_zhgX_10xU|https://youtu.be/n_zhgX_10xU
disc_OYWspLf80hQ|https://youtu.be/OYWspLf80hQ
disc_8ORzfUrGCYs|https://youtu.be/8ORzfUrGCYs
disc_LMJhrbhZCjg|https://youtu.be/LMJhrbhZCjg
disc_Yx0kTFEixbA|https://youtu.be/Yx0kTFEixbA
disc_8Hc_U2j-dTA|https://youtu.be/8Hc_U2j-dTA
disc_KBRdy-jzRyY|https://youtu.be/KBRdy-jzRyY
disc_Q4c9_KWBey4|https://youtu.be/Q4c9_KWBey4
disc_cV-Qou55loE|https://youtu.be/cV-Qou55loE
disc_JbQvbkBLRjE|https://youtu.be/JbQvbkBLRjE
disc_D2kZK0FdBHI|https://youtu.be/D2kZK0FdBHI
disc_Kei9ksQxGl4|https://youtu.be/Kei9ksQxGl4
disc_vDLDRAS0kqE|https://youtu.be/vDLDRAS0kqE
disc_ySxgLzZbJ1g|https://youtu.be/ySxgLzZbJ1g
disc_PRzNeGfRR00|https://youtu.be/PRzNeGfRR00
disc_VFAOCb9EQJ4|https://youtu.be/VFAOCb9EQJ4
disc_XQUmPL07sFY|https://youtu.be/XQUmPL07sFY
disc_1dTB5v9TJsc|https://youtu.be/1dTB5v9TJsc
disc_DFBo5YPytAM|https://youtu.be/DFBo5YPytAM
disc_ZEnAhsvDzKY|https://youtu.be/ZEnAhsvDzKY
disc_2S_dKI9X0NU|https://youtu.be/2S_dKI9X0NU
disc_rly0ngKekNs|https://youtu.be/rly0ngKekNs
disc_YdIHSLvgkTs|https://youtu.be/YdIHSLvgkTs
disc_wFc7tRoMTNU|https://youtu.be/wFc7tRoMTNU
disc_fjgne_X74s8|https://youtu.be/fjgne_X74s8
disc_bafuqyKOVGM|https://youtu.be/bafuqyKOVGM
disc_VvustUmO0Mg|https://youtu.be/VvustUmO0Mg
disc_HhwYZGR0M3s|https://youtu.be/HhwYZGR0M3s
disc_OROH0lDrGTg|https://youtu.be/OROH0lDrGTg
disc_wVNmBYMGN0A|https://youtu.be/wVNmBYMGN0A
disc_cut0utLNbgQ|https://youtu.be/cut0utLNbgQ
disc_iC6h_vGU1EA|https://youtu.be/iC6h_vGU1EA
disc_OpvS02UXO-I|https://youtu.be/OpvS02UXO-I
disc_sfwT-A3RpuE|https://youtu.be/sfwT-A3RpuE
disc_t8v5IlBPPJk|https://youtu.be/t8v5IlBPPJk
disc_rhDf8kFmMiA|https://youtu.be/rhDf8kFmMiA
disc_3eM07g4Ly5k|https://youtu.be/3eM07g4Ly5k
disc_RAh0DXSswoI|https://youtu.be/RAh0DXSswoI
disc_AUiz1LBnNJg|https://youtu.be/AUiz1LBnNJg
disc_hK1w8QPMWi8|https://youtu.be/hK1w8QPMWi8
disc_g8EosHkNIIk|https://youtu.be/g8EosHkNIIk
disc_SlVLi0h14UQ|https://youtu.be/SlVLi0h14UQ
disc_F9qP6bW6bdE|https://youtu.be/F9qP6bW6bdE
disc_fasSf1RkfCE|https://youtu.be/fasSf1RkfCE
